time [ms], ACyl_LC [bar], ACyl_SC [bar], Swing_L [bar], Swing_R [bar], BCyl_LC [bar], BCyl_SC [bar], KCyl_LC [bar], KCyl_SC [bar], Body_Pitch_Angle [rad], Body_Roll_Angle [rad], Boom_Joint_Angle [rad], Arm_Joint_Angle [rad], Bkt_Joint_Angle [rad], Swing_Angle [rad], Boom_Joint_Rate [rad/s], Arm_Joint_Rate [rad/s], Bkt_Joint_Rate [rad/s], Swing_Rate [rad/s], GPS_Easting [m], GPS_Northing [m], GPS_Elevation [m], GPS_Latitude [deg], GPS_Longitude [deg], GPS_Sea_Level [m]
3388.242241, 3.300000, 3.200000, 0.000000, 0.000000, 5.100000, 4.100000, 2.700000, 3.600000, -0.010298, 0.004189, -1.008255, 0.539503, -0.650135, -0.937417, -1.048585, 0.561083, -0.676141, -0.974913, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3388.341259, 5.700000, 3.900000, 0.000000, 0.000000, 3.500000, 2.900000, 4.000000, 8.500000, -0.010298, 0.004189, -1.008255, 0.539678, -0.649961, -0.937417, -3.880411, 2.076535, -2.501955, -3.607780, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3388.440272, 4.400000, 4.800000, 0.000000, 0.000000, 3.700000, 2.900000, 3.200000, 4.800000, -0.010298, 0.004189, -1.008255, 0.539852, -0.649961, -0.937417, -6.842062, 3.661944, -4.411174, -6.361350, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3388.539302, 5.000000, 3.700000, 0.000000, 0.000000, 4.200000, 4.000000, 3.300000, 5.400000, -0.010298, 0.004363, -1.008255, 0.539678, -0.649961, -0.937417, -8.726750, 4.671236, -5.625932, -8.113622, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3388.639313, 5.200000, 3.500000, 0.000000, 0.000000, 5.500000, 4.200000, 4.300000, 7.700000, -0.010298, 0.004363, -1.008255, 0.539503, -0.649961, -0.937417, -9.743755, 5.215588, -6.281384, -9.059174, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3388.738318, 4.000000, 4.300000, 0.000000, 0.000000, 4.400000, 3.800000, 3.800000, 5.600000, -0.010298, 0.004363, -1.008255, 0.539503, -0.649961, -0.937417, -10.082601, 5.396399, -6.499700, -9.374212, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3388.837334, 6.200000, 4.300000, 0.000000, 0.000000, 5.600000, 2.100000, 4.200000, 6.400000, -0.010298, 0.004189, -1.008255, 0.539503, -0.649961, -0.937417, -9.910428, 5.303668, -6.388622, -9.214136, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3388.937323, 5.700000, 3.600000, 0.000000, 0.000000, 3.100000, 3.900000, 3.700000, 6.700000, -0.010298, 0.004363, -1.008255, 0.539678, -0.649961, -0.937417, -9.371013, 5.014742, -6.040830, -8.712619, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3389.036344, 3.800000, 5.100000, 0.000000, 0.000000, 4.000000, 4.100000, 3.000000, 5.600000, -0.010298, 0.004363, -1.008255, 0.539678, -0.649786, -0.937417, -8.585011, 4.594296, -5.533918, -7.981841, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3389.135353, 4.800000, 6.400000, 0.000000, 0.000000, 4.000000, 4.200000, 4.300000, 5.500000, -0.010298, 0.004363, -1.008255, 0.539503, -0.649786, -0.937417, -7.651114, 4.094654, -4.931374, -7.113557, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3389.234373, 5.900000, 4.800000, 0.000000, 0.000000, 4.400000, 5.900000, 4.100000, 5.300000, -0.010298, 0.004363, -1.008255, 0.539503, -0.649961, -0.937417, -6.647795, 3.557454, -4.284252, -6.180730, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3389.334379, 4.400000, 5.500000, 0.000000, 0.000000, 3.900000, 3.500000, 3.400000, 5.800000, -0.010298, 0.004363, -1.008255, 0.539678, -0.649961, -0.937417, -5.635451, 3.015501, -3.631817, -5.239511, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3389.433393, 6.400000, 3.100000, 0.000000, 0.000000, 3.700000, 3.800000, 2.800000, 4.500000, -0.010298, 0.004363, -1.008255, 0.539678, -0.649961, -0.937417, -4.658708, 2.493032, -3.002513, -4.331393, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3389.532405, 4.400000, 4.200000, 0.000000, 0.000000, 4.800000, 4.200000, 5.700000, 4.600000, -0.010298, 0.004363, -1.008255, 0.539852, -0.649961, -0.937417, -3.748780, 2.006622, -2.416217, -3.485395, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
3389.631434, 3.600000, 4.400000, 0.000000, 0.000000, 5.100000, 3.500000, 4.100000, 5.700000, -0.010298, 0.004363, -1.008255, 0.539678, -0.649961, -0.937417, -2.925751, 1.566736, -1.885882, -2.720192, 4689499908052154368.000000, 4706124876731681792.000000, 4640219533109644288.000000, 457.307709, 618.178894, 5197.625000
